seg_id,seg_label,width_m,schema,direction,full,half,10k,elite,open,full_from_km,full_to_km,half_from_km,half_to_km,10k_from_km,10k_to_km,elite_from_km,elite_to_km,open_from_km,open_to_km,prior_seg_id,notes,combines,full_length,half_length,10k_length,elite_length,open_length,lengths_match,review_distances,prior_seg_id_old,seg_id_old,seg_id.1,flow_enabled,description
A1,Start to Queen/Regent,5,on_course_open,uni,y,y,y,n,n,0,0.9,0,0.9,0,0.9,0,0,0,0,none,Start with runners heading north on St John to Queen/Regent. Overtake possible in later bins. Density expected to be high with runners from same event just starting.,"""A1a, A2a, A3a""",0.9,0.9,0.9,0,0,y,n,none,A1a,A1,y,"Starting segment used by Full, Half, 10K runners."
A2,Queen/Regent to WSB mid-point,5,on_course_open,uni,y,y,y,n,n,0.9,1.8,0.9,1.8,0.9,1.8,0,0,0,0,A1,From Queen/Regent to St. Anne Blvd to mid-point on WSB. Minimal overtake is expected. Density expected to remain high so close to the start.,"""A1b, A2b, A3b""",0.9,0.9,0.9,0,0,y,n,A1a,A1b,A2,n,"Downtown road section used by Full, Half, 10K runners."
A3,WSB mid-point to Friel,5,on_course_open,uni,y,y,y,n,n,1.8,2.7,1.8,2.7,1.8,2.7,0,0,0,0,A2,From mid-point on WSB to Friel. Overtake likely. Density expected to remain high.,"""A1c, A2c, A3c""",0.9,0.9,0.9,0,0,y,n,A1b,A1c,A3,n,"Crosses Union St. to Friel, part of Full, Half, 10K route."
B1,Friel to 10K Turn (Out),1.5,on_course_narrow,bi,y,n,y,n,n,2.7,4.25,0,0,2.7,4.25,0,0,0,0,A3,10K and Full turn right from Friel and head to 10K Turn. Trail with 1.5m lane as this is a bi-directional segment. Overtake expected with fast 10K overtaking slow full. Density will not be as high as the 10K and Full field will have spaced out at this point. Course Marshals will need to enforce 'keep-right' on this entire segment.,B1,1.55,0,1.55,0,0,y,n,A1c,B1,B1,n,"Turnaround point for Full, 10K event(s)."
B2,10K Turn to Friel (Back),1.5,on_course_narrow,bi,y,n,y,n,n,14.8,16.35,0,0,4.25,5.8,0,0,0,0,"""D2,B1""",10K and Full return from 10K Turn to Friel. Trail with 1.5m lane as this is a bi-directional segment. Overtake expected with fast Full overtaking slow 10K. Density will not be as high as the 10K and Full field will have spaced out at this point. Course Marshals will need to enforce 'keep-right' on this entire segment.,C1,1.55,0,1.55,0,0,y,n,B1,C1,B2,n,"Turnaround point for Full, 10K event(s)."
B3,10K Turn to Friel (Slow/Fast 10k),1.5,on_course_narrow,bi,y,n,y,n,n,2.7,4.25,0,0,4.25,5.8,0,0,0,0,B1,"10K and Full return from 10K Turn to Friel. Trail with 1.5m lane as this is a bi-directional segment. No Overtake expected, but Density will be a factor with Fast 10K meeting Slow Fast. Course Marshals will need to enforce 'keep-right' on this entire segment.",C2,1.55,0,1.55,0,0,y,n,B1,C2,B3,n,"Turnaround point for Full, 10K event(s)."
C1,10K Turn to Royal Rd (Full Out),1.5,on_course_narrow,bi,y,n,n,n,n,4.25,5.08,0,0,0,0,0,0,0,0,B3,Full out to the Full Turn at Blake Court. On Trail (1.5m lane). No Overtake. Density will not be a big factor. Course Marshals will need to enforce 'keep-right' on this segment as it is bi-directional with Full returning from Blake (see D1-3),C1,0.83,0,0,0,0,--,--,D1a,--,--,n,10K Turn to Royal Rd (Full Out)
C2,Royal Rd to Sunset Dr at Claremont (Full Out),1.5,on_course_narrow,bi,y,n,n,n,n,5.08,7.41,0,0,0,0,0,0,0,0,B3,Full out to the Full Turn at Blake Court. On Trail (1.5m lane). No Overtake. Density will not be a big factor. Course Marshals will need to enforce 'keep-right' on this segment as it is bi-directional with Full returning from Blake (see D1-3),C1,2.33,0,0,0,0,--,--,D1a,--,--,n,Royal Rd to Sunset Dr at Claremont (Full Out)
C3,Sunset Dr at Claremont to Full Turn at Blake (Full Out),1.5,on_course_narrow,bi,y,n,n,n,n,7.41,9.52,0,0,0,0,0,0,0,0,B3,Full out to the Full Turn at Blake Court. On Trail (1.5m lane). No Overtake. Density will not be a big factor. Course Marshals will need to enforce 'keep-right' on this segment as it is bi-directional with Full returning from Blake (see D1-3),C1,2.11,0,0,0,0,--,--,D1a,--,--,n,Sunset Dr at Claremont to Full Turn at Blake (Full Out)
D1,Full Turn at Blake to Sunset at Claremont (Full Back),1.5,on_course_narrow,bi,y,n,n,n,n,9.5,11.6,0,0,0,0,0,0,0,0,C1,Full from Blake Court back to 10K Turn. On Trail (1.5m lane). No Overtake. Density will not be a big factor. Course Marshals will need to enforce 'keep-right' on this segment as it is bi-directional with Full Out to Blake (see C1-3),D1,2.12,0,0,0,0,--,--,D1b,--,--,n,Full Turn at Blake to Sunset at Claremont (Full Back)
D2,Sunset at Claremont to Royal (Full Back),1.5,on_course_narrow,bi,y,n,n,n,n,11.6,14,0,0,0,0,0,0,0,0,C2,Full from Blake Court back to 10K Turn. On Trail (1.5m lane). No Overtake. Density will not be a big factor. Course Marshals will need to enforce 'keep-right' on this segment as it is bi-directional with Full Out to Blake (see C1-3),D1,2.33,0,0,0,0,--,--,D1b,--,--,n,Sunset at Claremont to Royal (Full Back)
D3,Royal to 10K Turn (Full Back),1.5,on_course_narrow,bi,y,n,n,n,n,14,14.8,0,0,0,0,0,0,0,0,C3,Full from Blake Court back to 10K Turn. On Trail (1.5m lane). No Overtake. Density will not be a big factor. Course Marshals will need to enforce 'keep-right' on this segment as it is bi-directional with Full Out to Blake (see C1-3),D1,0.83,0,0,0,0,--,--,D1b,--,--,n,Royal to 10K Turn (Full Back)
E1,Friel to Hughes,3,on_course_open,uni,y,y,y,n,n,16.35,16.98,2.7,3.33,5.8,6.43,0,0,0,0,"""B2,A3,B3""","Segment where all three events will merge. On Trail with uni-directional flow, so full width (3.0m, two lanes) is possible. Overtakes expected (Fast 10K-Slow Half; Slow 10K-Fast Full; Slow Half-Fast Full). The prior segments is a multiple segment list where C1 is for the Full and 10K (why repeated) and A1c is for Half.",E1,0.63,0.63,0.63,0,0,--,--,F1,--,--,y,"Friel to Hughes (full, 10k, half)"
E2,Hughes to Neil,3,on_course_open,uni,y,y,y,n,n,16.98,17.64,3.33,3.99,6.43,7.09,0,0,0,0,"""B2,A3,B3""","Segment where all three events will merge. On Trail with uni-directional flow, so full width (3.0m, two lanes) is possible. Overtakes expected (Fast 10K-Slow Half; Slow 10K-Fast Full; Slow Half-Fast Full). The prior segments is a multiple segment list where C1 is for the Full and 10K (why repeated) and A1c is for Half.",E2,0.66,0.66,0.66,0,0,--,--,F1,--,--,y,"Hughes to Neil (full, 10k, half)"
